Temperature	Other Details
69°	96.93.1415....8% chance the game will still be unfinished.
75°	100% chance it is a great day to be a ghost.
86.7°	99% chance it will rain blocks.
87°	55% chance Mr. Dimock will say "ice cream!"
67.0000001°	50% chance you have euphobia.
78°	60% chance that [DATA EXPUNGED].
2°	0% chance there is a new article.
74°	95% chance that this will be the same the next time that you look at it
3°	1% chance that people actually care about this section
11°	38% chance that bananas are blue
32°	87% chance that you noticed a slight raise in temperature projected for Saturday
56°	78% chance of spontaneous combustion due to a death stare from an eighth grade teacher
22°	100% chance that Mr. Dimock will give you the day off for a holiday
61°	2% chance that this forecast is entirely inaccurate